title,domain,score,country_code,reg_dtime
Facebook,http://chalilaatungast.netlify.app,Low,SG,2026-05-01 02:20:02 (UTC)
,http://allegro.03299g042.cfd,Critical,,2026-05-01 02:21:34 (UTC)
Site Not Found,http://haudra-b227b.web.app,Low,US,2026-05-01 02:22:05 (UTC)
Suspected phishing site | Cloudflare,http://goodgifts.click,Critical,,2026-05-01 02:22:36 (UTC)
PT.SHOPEE INDONESIA PUSAT 12.12,http://www.pusat-shopee199.blogspot.com,Low,US,2026-05-01 02:23:07 (UTC)
404 Error: Page Not Found | Wix Studio,http://suiteapps-trexo.wixstudio.com,Low,US,2026-05-01 02:24:08 (UTC)
404 Error: Page Not Found | Wix Studio,http://startledgerr.wixstudio.com,Low,US,2026-05-01 02:24:39 (UTC)
,http://allegro.8723893g92.lol,Critical,,2026-05-01 02:25:10 (UTC)
Suspected phishing site | Cloudflare,http://bradesco.acessonet.info,Critical,,2026-05-01 02:25:41 (UTC)
404 Error: Page Not Found | Wix Studio,http://appstartcom-ledzer.wixstudio.com,Low,US,2026-05-01 02:26:22 (UTC)
Suspected phishing site | Cloudflare,http://app.clubepontostotal.live,Critical,,2026-05-01 02:27:03 (UTC)
404 Error: Page Not Found | Wix Studio,http://startedldger-com.wixstudio.com,Low,US,2026-05-01 02:27:45 (UTC)
Attention Required! | Cloudflare,http://app.promocao-cliente.digital,Critical,,2026-05-01 02:28:16 (UTC)
,http://allegro.93247609312.shop,Critical,,2026-05-01 02:30:19 (UTC)
404 Error: Page Not Found | Wix Studio,http://suuite.wixstudio.com,Low,US,2026-05-01 02:31:21 (UTC)
Loading...,http://ptgzp-tqgx-3c7z.c-n5omq9dc.workers.dev,Low,,2026-05-01 02:32:03 (UTC)
,http://assureappmanager.dynv6.net,Low,FR,2026-05-01 02:32:34 (UTC)
404 Error: Page Not Found | Wix Studio,http://mytrezrsulte.wixstudio.com,Low,US,2026-05-01 02:33:46 (UTC)
ameli-monespace.com,http://chaattime.com,Critical,IN,2026-05-01 02:34:27 (UTC)
Suspected phishing site | Cloudflare,http://accessportal-myvalidcredentials.buddyl.workers.dev,Low,,2026-05-01 02:35:19 (UTC)
Instagram Clone,http://insta-clone-umber.vercel.app,Low,US,2026-05-01 02:35:50 (UTC)
404 Error: Page Not Found | Wix Studio,http://appstart-suites.wixstudio.com,Low,US,2026-05-01 02:36:21 (UTC)
404 Error: Page Not Found | Wix Studio,http://fact-desktop.wixstudio.com,Low,US,2026-05-01 02:36:52 (UTC)
404 Error: Page Not Found | Wix Studio,http://suiteapp--trexo.wixstudio.com,Low,US,2026-05-01 02:37:23 (UTC)
Meta Business Help Centre,http://support291.business-manage-agency.com,Critical,,2026-05-01 02:38:04 (UTC)
404 Error: Page Not Found | Wix Studio,http://trzxosuitetrezo.wixstudio.com,Low,US,2026-05-01 02:38:45 (UTC)
Attention Required! | Cloudflare,http://moduloempresarial.app,Critical,,2026-05-01 02:39:16 (UTC)
404 Error: Page Not Found | Wix Studio,http://startlledge.wixstudio.com,Low,US,2026-05-01 02:39:57 (UTC)
Site Not Found,http://srlaruba.web.app,Low,US,2026-05-01 02:40:28 (UTC)
Suspected phishing site | Cloudflare,http://meta-cryptic.pages.dev,Low,,2026-05-01 02:40:59 (UTC)
404 Error: Page Not Found | Wix Studio,http://official-iosuite.wixstudio.com,Low,US,2026-05-01 02:41:51 (UTC)
Suspected phishing site | Cloudflare,http://bradesco.suporte-cliente.digital,Critical,,2026-05-01 02:42:54 (UTC)
allegrolokalnie.pl,http://allegrolokalnie.smart-63823.cfd,Low,,2026-05-01 02:43:25 (UTC)
404 Error: Page Not Found | Wix Studio,http://home-trezrsuite.wixstudio.com,Low,US,2026-05-01 02:44:06 (UTC)
404 Error: Page Not Found | Wix Studio,http://appsuite-treixo.wixstudio.com,Low,US,2026-05-01 02:44:48 (UTC)
Suspected phishing site | Cloudflare,http://app.campanhapontos.info,Critical,,2026-05-01 02:45:19 (UTC)
Bestaetigung der Datenschutzrichtlinie,http://regelnbestatiegen.click,Critical,VN,2026-05-01 02:45:50 (UTC)
404 Error: Page Not Found | Wix Studio,http://homesuite-trexor.wixstudio.com,Low,US,2026-05-01 02:46:31 (UTC)
Suspected phishing site | Cloudflare,http://bradesco.gestaonetempresa.digital,Critical,,2026-05-01 02:47:02 (UTC)
404 Error: Page Not Found | Wix Studio,http://exudosweb-apps.wixstudio.com,Low,US,2026-05-01 02:47:33 (UTC)
Attention Required! | Cloudflare,http://portal.etapajuridica.click,Critical,,2026-05-01 02:48:14 (UTC)
BHD - Banca Móvil,http://bhdaqui26d0.iceiy.com,Low,GB,2026-05-01 02:48:45 (UTC)
Suspected phishing site | Cloudflare,http://support262.agency-partner-manage.com,Critical,,2026-05-01 02:49:37 (UTC)
Suspected phishing site | Cloudflare,http://meta-crypt.pages.dev,Low,,2026-05-01 02:50:07 (UTC)
Suspected phishing site | Cloudflare,http://app.protecaoespecial.pro,Critical,,2026-05-01 02:50:38 (UTC)
,http://allegrolokalnie.40938jio243p56.shop,Critical,,2026-05-01 02:51:20 (UTC)
404 Error: Page Not Found | Wix Studio,http://officialsa-home.wixstudio.com,Low,US,2026-05-01 02:52:01 (UTC)
404 Error: Page Not Found | Wix Studio,http://bridge--fficial.wixstudio.com,Low,US,2026-05-01 02:52:32 (UTC)
Log In - Ndax® | Sign In™,http://eng-ndaxxhelp.zapier.app,Low,US,2026-05-01 02:53:03 (UTC)
404 Error: Page Not Found | Wix Studio,http://iiotrezsrt.wixstudio.com,Low,US,2026-05-01 02:54:05 (UTC)
404 Error: Page Not Found | Wix Studio,http://sute-trexo.wixstudio.com,Low,US,2026-05-01 02:54:46 (UTC)
Attention Required! | Cloudflare,http://bradesco.app-pj.click,Critical,,2026-05-01 02:55:17 (UTC)
404 Error: Page Not Found | Wix Studio,http://trezsuite-eng.wixstudio.com,Low,US,2026-05-01 02:55:58 (UTC)
Suspected phishing site | Cloudflare,http://bradesco.suportereparaempresa.digital,Critical,,2026-05-01 02:56:29 (UTC)
,http://apple114f41a952c24ba9b27973dd84b97604.qduxz.cn,Low,,2026-05-01 02:57:00 (UTC)
Suspected phishing site | Cloudflare,http://bradesco.atualizarcadastroempresa.digital,Critical,,2026-05-01 02:58:03 (UTC)
"One moment, please...",http://v2sd01v5sd1fb5.sviluppo.host,Low,IT,2026-05-01 02:58:44 (UTC)
Leilão Linha Branca - Casas Bahia,http://linhabranca-oficial23.vercel.app,Low,US,2026-05-01 02:59:25 (UTC)
404 Error: Page Not Found | Wix Studio,http://bridgehomeeng.wixstudio.com,Low,US,2026-05-01 03:00:07 (UTC)
,http://allegro-lokalnie.8300347793247.shop,Critical,,2026-05-01 03:01:00 (UTC)
404 Error: Page Not Found | Wix Studio,http://trexor-startiio.wixstudio.com,Low,US,2026-05-01 03:01:32 (UTC)
Suspected phishing site | Cloudflare,http://app.campanhapontos.click,Critical,,2026-05-01 03:02:03 (UTC)
ameli-monespace.com,http://camp-mind.com,Critical,IN,2026-05-01 03:02:34 (UTC)
404 Error: Page Not Found | Wix Studio,http://engsuitetrezor.wixstudio.com,Low,US,2026-05-01 03:04:48 (UTC)
404 Error: Page Not Found | Wix Studio,http://security-bridge.wixstudio.com,Low,US,2026-05-01 03:05:19 (UTC)
404 Error: Page Not Found | Wix Studio,http://appstarted-ledgr.wixstudio.com,Low,US,2026-05-01 03:05:50 (UTC)
Attention Required! | Cloudflare,http://app.promocao-cliente.live,Critical,,2026-05-01 03:06:21 (UTC)
Attention Required! | Cloudflare,http://app.promocao-cliente.pro,Critical,,2026-05-01 03:06:52 (UTC)
Closet Dobrável Inteligente – Cupons Premiados,http://shppebr-mac.vercel.app,Low,US,2026-05-01 03:07:43 (UTC)
Suspected phishing site | Cloudflare,http://app.resgatebonusclick.info,Critical,,2026-05-01 03:09:15 (UTC)
OpenSea.io,http://www.community03-freemints.vercel.app,Low,US,2026-05-01 03:09:57 (UTC)
,http://allegro-lokalnie.10384977980745.shop,Critical,,2026-05-01 03:11:39 (UTC)
Documents Portal Login,http://9000-firebase-begin-1777441898743.cluster-ia3qyg64ezfigtyvi2ozzigmyy.cloudworkstations.dev,Low,NL,2026-05-01 03:12:10 (UTC)
Site Not Found | Framer,http://confident-material-356311.framer.app,Low,NL,2026-05-01 03:13:01 (UTC)
ameli-monespace.com,http://swingforepink.com,Critical,IN,2026-05-01 03:13:32 (UTC)
Netflix,http://netflix-clone-sepia-nine.vercel.app,Critical,US,2026-05-01 03:14:13 (UTC)
,http://allegro.8300347793247.shop,Critical,,2026-05-01 03:14:54 (UTC)
OpenSea.io,http://www.community06-freemints.vercel.app,Low,US,2026-05-01 03:15:25 (UTC)
TikPremiu.Com - Kích hoạt kiếm tiền,http://tikcuon.com,Critical,US,2026-05-01 03:16:37 (UTC)
404 Error: Page Not Found | Wix Studio,http://improvesbridge.wixstudio.com,Low,US,2026-05-01 03:17:18 (UTC)
Suspected phishing site | Cloudflare,http://bradesco.acessonetpj.info,Critical,,2026-05-01 03:17:49 (UTC)
Suspected phishing site | Cloudflare,http://netempresas-pendenciasatualizar.digital,Critical,,2026-05-01 03:18:41 (UTC)
Suspected phishing site | Cloudflare,http://app.clubepontostotal.digital,Critical,,2026-05-01 03:19:12 (UTC)
404 Error: Page Not Found | Wix Studio,http://appstart-ledzer.wixstudio.com,Low,US,2026-05-01 03:19:43 (UTC)
Site not found,http://pagamentoolx.netlify.app,Low,SG,2026-05-01 03:20:14 (UTC)
Accounts Centre,http://invoice-billing.invoice-ads-agency.com,Critical,,2026-05-01 03:20:45 (UTC)
Site Not Found,http://netflix-clone-59-d92d7.web.app,Critical,US,2026-05-01 03:21:37 (UTC)
Suspected phishing site | Cloudflare,http://bradesco.appnetempresarial.digital,Critical,,2026-05-01 03:22:08 (UTC)
