title,domain,score,country_code,reg_dtime
Suspected Phishing | Cloudflare,http://telvora-nqx-zentora-a5x6hk34.pages.dev,Low,,2026-08-11 02:20:12 (UTC)
Adobe Acrobat - Secure PDF Document,http://91a45f.icefactory.cl,Moderate,CL,2026-08-11 02:20:33 (UTC)
WhatsApp Login,http://whatsapp.traviyo.in,Critical,IN,2026-08-11 02:21:04 (UTC)
Adobe Acrobat - Secure PDF Document,http://7ea274.icefactory.cl,Dangerous,CL,2026-08-11 02:21:45 (UTC)
404 Not Found,http://0ft5w98vp.duckdns.org,Low,HK,2026-08-11 02:22:26 (UTC)
Adobe Acrobat - Secure PDF Document,http://a31b2c.icefactory.cl,Dangerous,CL,2026-08-11 02:22:58 (UTC)
Adobe Acrobat - Secure PDF Document,http://bf9aef.icefactory.cl,Dangerous,CL,2026-08-11 02:23:39 (UTC)
,http://allegrolokalnie.293zzvw38ck8.rest,Critical,PL,2026-08-11 02:24:30 (UTC)
https://instagramloginpassword.blogspot.com/,http://instagramloginpassword.blogspot.com,Safe,US,2026-08-11 02:25:12 (UTC)
404 Not Found,http://zqu7jqyn.duckdns.org,Low,KR,2026-08-11 02:25:32 (UTC)
Adobe Acrobat - Secure PDF Document,http://947ff0.icefactory.cl,Low,CL,2026-08-11 02:26:04 (UTC)
404 Not Found,http://2e91f171.duckdns.org,Low,KR,2026-08-11 02:26:35 (UTC)
404 Not Found,http://4d3x23.duckdns.org,Low,KR,2026-08-11 02:27:06 (UTC)
https://www.binance-register.blogspot.com/,http://www.binance-register.blogspot.com,Safe,US,2026-08-11 02:27:37 (UTC)
,http://allegrolokalnie.pl-oferta158925.shop,Critical,,2026-08-11 02:28:18 (UTC)
404 Not Found,http://h4f7aovdp.duckdns.org,Low,KR,2026-08-11 02:28:59 (UTC)
,http://73a2370016b7.dev2-p3m.account-paypal.antimoney-laundering.org,Critical,VG,2026-08-11 02:29:20 (UTC)
404 Not Found,http://z711v0.duckdns.org,Low,KR,2026-08-11 02:30:01 (UTC)
Suspected Malware | Cloudflare,http://c4wcrrr3c443c.pages.dev,Low,,2026-08-11 02:30:32 (UTC)
404 Not Found,http://nlnb9z.duckdns.org,Low,KR,2026-08-11 02:31:03 (UTC)
404 Not Found,http://z75thrwb.duckdns.org,Low,HK,2026-08-11 02:31:34 (UTC)
Suspected Malware | Cloudflare,http://uj2-tocl-wyls-ykjh-9pon-os0dhc.pages.dev,Low,,2026-08-11 02:31:55 (UTC)
Suspected Phishing | Cloudflare,http://still-bonus-f2eb.2415054122105.workers.dev,Low,,2026-08-11 02:32:16 (UTC)
Deployment Unavailable,http://www.verilopnet.vercel.app,Low,US,2026-08-11 02:33:18 (UTC)
404 Not Found,http://xg41ab.duckdns.org,Low,KR,2026-08-11 02:33:39 (UTC)
Site not found · GitHub Pages,http://mansithakur204.github.io,Low,US,2026-08-11 02:34:31 (UTC)
Suspected Misleading Website | Cloudflare,http://zdkpt80gpx-wjsng28kxz-3e2f5b-wjq91k.pages.dev,Low,,2026-08-11 02:35:12 (UTC)
Attention Required! | Cloudflare,http://031-psd2.my-granitnyrt.com,Critical,,2026-08-11 02:35:33 (UTC)
Suspected Phishing | Cloudflare,http://hbkpt3bpzgo-xlbdwlsi-2e3f6a-hbk66c.pages.dev,Low,,2026-08-11 02:35:54 (UTC)
404 Not Found,http://xfsicvpk.duckdns.org,Low,KR,2026-08-11 02:36:25 (UTC)
404 Not Found,http://y8zxh1r.duckdns.org,Low,KR,2026-08-11 02:36:56 (UTC)
404 Not Found,http://huurqr5l.duckdns.org,Low,KR,2026-08-11 02:37:27 (UTC)
404 Not Found,http://myu5jwyv.duckdns.org,Low,KR,2026-08-11 02:37:58 (UTC)
Attention Required! | Cloudflare,http://004-psd2.my-granitnyrt.com,Critical,,2026-08-11 02:38:19 (UTC)
404 Not Found,http://y9new1.duckdns.org,Low,HK,2026-08-11 02:39:01 (UTC)
Suspected Phishing | Cloudflare,http://ledger-live-safe.pages.dev,Low,,2026-08-11 02:39:42 (UTC)
Site not found · GitHub Pages,http://instagram002.github.io,Low,US,2026-08-11 02:40:34 (UTC)
Suspected Phishing | Cloudflare,http://my-ledger-chn.pages.dev,Low,,2026-08-11 02:40:55 (UTC)
404 Not Found,http://d2zpk92f.duckdns.org,Low,KR,2026-08-11 02:41:16 (UTC)
Deployment Unavailable,http://www.leoparntecx.vercel.app,Low,US,2026-08-11 02:41:58 (UTC)
https://facbookloging.blogspot.com/,http://facbookloging.blogspot.com,Safe,US,2026-08-11 02:42:50 (UTC)
https://instagram-login-ig.blogspot.com/,http://instagram-login-ig.blogspot.com,Critical,US,2026-08-11 02:43:43 (UTC)
404 Not Found,http://elktw8u.duckdns.org,Low,KR,2026-08-11 02:44:04 (UTC)
404 Not Found,http://bc8sqy.duckdns.org,Low,KR,2026-08-11 02:44:25 (UTC)
404 Not Found,http://ycd55xzx.duckdns.org,Low,KR,2026-08-11 02:44:45 (UTC)
Site not found · GitHub Pages,http://instagramaaps-code.github.io,Low,US,2026-08-11 02:45:06 (UTC)
Suspected Phishing | Cloudflare,http://addons-moz-illa-org.pages.dev,Low,,2026-08-11 02:45:27 (UTC)
Suspected Misleading Website | Cloudflare,http://ycgfn00lkwg-vnzktplx-4a7d0e-ycg66w.pages.dev,Low,,2026-08-11 02:45:58 (UTC)
